trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.9161879571171359}",30,0,-100.32430434069225,"{0: 23, 1: 0, 2: 4, 3: 2, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.9122095257974677}",25,0,-100.97183023143508,"{0: 14, 1: 0, 2: 10, 3: 1, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.9081431738250815}",30,0,-112.58673955464845,"{0: 21, 1: 4, 2: 3, 3: 0, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.9039892931234434}",20,0,-62.78560607611683,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.8997482840522215}",30,0,-132.3547360769777,"{0: 19, 1: 4, 2: 3, 3: 3, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.895420555368697}",30,0,-165.27792048459185,"{0: 17, 1: 5, 2: 4, 3: 2, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.8910065241883679}",30,0,-196.21038285620324,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
49,False,"{'a': 0.5, 'e': 0.8865066159447464}",25,0,-159.90902012579457,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
50,False,"{'a': 0.5, 'e': 0.881921264348355}",20,0,-126.51027763733269,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.8772509113449244}",20,0,-76.90985406136102,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.8724960070727971}",35,0,-134.3357852313788,"{0: 23, 1: 2, 2: 7, 3: 2, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.8676570098195441}",20,14,-12.443554083264232,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.862734385977792}",20,0,-88.68640846943543,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.8577286100002721}",25,0,-71.96431408830112,"{0: 16, 1: 5, 2: 1, 3: 3, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.8526401643540923}",30,0,-134.44252019436928,"{0: 20, 1: 4, 2: 2, 3: 2, 4: 2}",0
57,False,"{'a': 0.5, 'e': 0.8474695394742344}",20,0,-77.45461489158508,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.8422172337162865}",25,0,-162.47590195821937,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
59,False,"{'a': 0.5, 'e': 0.8368837533084093}",25,0,-179.7704918615873,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
60,False,"{'a': 0.5, 'e': 0.8314696123025453}",25,0,-130.6340038511662,"{0: 12, 1: 6, 2: 4, 3: 2, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.8259753325248731}",20,0,-111.46477137408024,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
62,False,"{'a': 0.5, 'e': 0.8204014435255137}",25,0,-89.17454162605749,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.8147484825274895}",35,0,-87.91536624625404,"{0: 25, 1: 3, 2: 6, 3: 0, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.8090169943749475}",30,0,-187.0452179361034,"{0: 20, 1: 3, 2: 3, 3: 0, 4: 4}",0
